City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Mareeba,-17.0,145.4333,87.8,58,84,11.5,AU,1611640198
Quatre Cocos,-20.2078,57.7625,84.99,69,20,3.44,MU,1611640210
Castro,-24.7911,-50.0119,62.56,95,100,3.4,BR,1611640221
Port Hueneme,34.1478,-119.1951,50.0,61,1,26.46,US,1611640233
Hasaki,35.7333,140.8333,54.0,71,75,4.61,JP,1611640244
Arraial do Cabo,-22.9661,-42.0278,75.18,89,39,22.48,BR,1611640256
Rikitea,-23.1203,-134.9692,79.93,68,0,12.73,PF,1611640268
Karratha,-20.7377,116.8463,99.88,20,61,16.53,AU,1611640279
Puerto Ayora,-0.7393,-90.3518,77.0,95,37,3.0,EC,1611640290
Yellowknife,62.456,-114.3525,-18.0,69,40,14.97,CA,1611640144
Punta Arenas,-53.15,-70.9167,41.0,81,75,26.46,CL,1611640313
Port Elizabeth,-33.918,25.5701,68.0,88,0,5.75,ZA,1611640326
Pemba,-12.974,40.5178,80.13,78,67,7.54,MZ,1611640337
Mataura,-46.1927,168.8643,75.72,39,100,10.87,NZ,1611640350
Kulhudhuffushi,6.6221,73.07,81.12,72,97,10.92,MV,1611640362
George Town,5.4112,100.3354,87.8,58,20,3.44,MY,1611640218
Severo-Kuril'sk,50.6789,156.125,20.64,94,82,25.1,RU,1611640384
Grindavik,63.8424,-22.4338,28.4,59,90,28.77,IS,1611640395
Hobart,-42.8794,147.3294,68.0,32,40,25.32,AU,1611640406
New Norfolk,-42.7826,147.0587,66.99,41,64,5.01,AU,1611640417
Provideniya,64.3833,-173.3,4.08,92,100,8.21,RU,1611640428
Bathurst,-33.4166,149.5806,88.0,37,42,4.0,AU,1611640440
Hilo,19.7297,-155.09,71.6,83,75,6.91,US,1611640452
Kapaa,22.0752,-159.319,73.0,59,100,18.61,US,1611640228
Bluff,-46.6,168.3333,68.47,58,100,14.07,NZ,1611640474
East London,-33.0153,27.9116,69.8,78,0,3.44,ZA,1611640485
Ushuaia,-54.8,-68.3,42.8,65,40,16.11,AR,1611640306
Busselton,-33.65,115.3333,75.0,56,16,7.0,AU,1611640508
Leh,34.1667,77.5833,9.72,64,29,1.88,IN,1611640520
Clyde River,70.4692,-68.5914,8.6,78,1,31.07,CA,1611640531
São João da Barra,-21.6403,-41.0511,75.61,89,21,12.82,BR,1611640542
Atuona,-9.8,-139.0333,78.87,76,19,18.07,PF,1611640554
Okhotsk,59.3833,143.3,-16.35,79,0,9.15,RU,1611640565
Chui,-33.6971,-53.4616,70.34,86,0,5.41,UY,1611640578
Springdale,36.1867,-94.1288,44.01,75,40,10.36,US,1611640589
Yangi Marg`ilon,40.4272,71.7189,35.6,55,26,3.78,UZ,1611640600
Trabzon Province,40.9167,39.8333,62.6,23,75,18.41,TR,1611640611
Mutoko,-17.397,32.2268,66.18,86,89,2.01,ZW,1611640622
Thompson,55.7435,-97.8558,-13.0,77,75,3.44,CA,1611640633
Cidreira,-30.1811,-50.2056,73.94,82,0,5.93,BR,1611640644
Jamestown,42.097,-79.2353,30.2,64,90,8.05,US,1611640656
Saint Paul Harbor,57.79,-152.4072,37.4,75,40,9.22,US,1611640668
Mossamedes,-15.1961,12.1522,74.82,75,49,1.9,AO,1611640679
Saurimo,-9.6608,20.3916,65.44,92,99,1.95,AO,1611640690
Obo,5.3998,26.4869,73.15,44,48,2.82,CF,1611640701
Dikson,73.5069,80.5464,-24.65,86,100,13.13,RU,1611640712
Bengkulu,-3.8004,102.2655,81.82,66,79,8.86,ID,1611640723
Camaçari,-12.6975,-38.3242,80.6,69,40,10.36,BR,1611640734
Kilmallock,52.4,-8.5772,43.0,92,100,11.99,IE,1611640745
Barrow,71.2906,-156.7887,-11.2,77,90,8.05,US,1611640757
Vaini,-21.2,-175.2,77.0,94,75,14.97,TO,1611640768
Beringovskiy,63.05,179.3167,-3.05,91,100,13.69,RU,1611640779
Necochea,-38.5473,-58.7368,63.0,84,3,3.0,AR,1611640790
Pevek,69.7008,170.3133,-29.74,85,100,4.76,RU,1611640801
Kismayo,-0.3582,42.5454,79.92,71,19,15.52,SO,1611640748
Avarua,-21.2078,-159.775,82.4,78,40,12.66,CK,1611640824
Rio Bonito,-22.7086,-42.6097,82.0,73,0,5.75,BR,1611640585
Huarmey,-10.0681,-78.1522,71.4,77,100,6.53,PE,1611640847
Constitución,-35.3333,-72.4167,56.43,56,0,9.15,CL,1611640858
Acajutla,13.5928,-89.8275,76.51,79,0,5.19,SV,1611640781
Laas,46.6166,10.7002,21.99,86,0,1.14,IT,1611640880
Martapura,-3.4167,114.85,87.8,70,40,12.66,ID,1611640891
Castel Maggiore,44.5771,11.3607,30.2,69,0,5.75,IT,1611640902
Kitami,43.8031,143.8908,21.99,53,40,4.61,JP,1611640913
La Providencia,28.7167,-111.5833,57.0,71,16,1.99,MX,1611640925
Seredka,58.1584,28.1858,33.8,93,90,6.71,RU,1611640936
Lebu,-37.6167,-73.65,55.44,81,0,15.64,CL,1611640947
Shahrud,36.4182,54.9763,35.28,65,4,1.79,IR,1611640958
Sennar,13.5691,33.5672,74.43,51,10,15.97,SD,1611640969
Kahului,20.8947,-156.47,75.2,69,75,14.97,US,1611640864
Saint-Philippe,-21.3585,55.7679,86.0,62,0,8.05,RE,1611640991
Muravlenko,63.7898,74.523,-25.64,86,100,19.22,RU,1611641004
Ponta do Sol,32.6667,-17.1,59.0,71,9,3.0,PT,1611641015
Albany,42.6001,-73.9662,23.0,64,80,1.36,US,1611641026
Saldanha,-33.0117,17.9442,60.8,82,18,5.75,ZA,1611641037
Pioner,55.3166,85.9508,-29.2,68,40,2.24,RU,1611641048
Kiryat Gat,31.61,34.7642,52.0,71,44,3.85,IL,1611641060
General Pico,-35.6566,-63.7568,65.57,76,45,11.27,AR,1611641071
Bethel,41.3712,-73.414,28.4,50,1,3.44,US,1611640869
Zhanakorgan,43.9098,67.2495,25.86,88,0,2.08,KZ,1611641094
Kruisfontein,-34.0033,24.7314,75.99,70,0,1.01,ZA,1611641105
La Reforma,25.0833,-108.05,54.0,80,4,1.99,MX,1611641116
Bambous Virieux,-20.3428,57.7575,84.0,69,20,3.44,MU,1611641127
Fortuna,40.5982,-124.1573,36.0,100,90,3.02,US,1611640917
Saskylakh,71.9167,114.0833,-33.47,82,7,3.49,RU,1611641149
Puerto Ayacucho,5.6639,-67.6236,75.13,77,98,5.14,VE,1611641161
Channel-Port aux Basques,47.5702,-59.1367,28.29,93,86,9.98,CA,1611641172
Port Alfred,-33.5906,26.891,70.0,85,0,5.17,ZA,1611641183
Lavrentiya,65.5833,-171.0,3.61,93,100,4.81,RU,1611641194
San Cristobal,7.7669,-72.225,62.64,83,83,1.88,VE,1611641205
Biak,-0.9131,122.8766,84.09,64,100,6.04,ID,1611641205
Dongsheng,39.8161,109.9776,24.96,71,0,14.14,CN,1611641227
Tabou,4.423,-7.3528,76.42,89,66,4.36,CI,1611641238
Tkibuli,42.3477,42.9981,50.0,34,0,8.05,GE,1611641250
Vila Velha,-20.3297,-40.2925,73.4,94,40,3.44,BR,1611641261
Kodinsk,58.6881,99.1844,-29.25,79,88,1.32,RU,1611641273
Caucayá,-0.1934,-74.7819,71.8,96,100,0.76,CO,1611641284
Tuktoyaktuk,69.4541,-133.0374,-2.2,84,90,12.66,CA,1611641221
Nanortalik,60.1432,-45.2371,17.89,85,4,9.86,GL,1611641202
Mercedes,-34.6515,-59.4307,80.01,61,76,1.01,AR,1611641318
Champerico,14.3,-91.9167,62.01,73,8,9.06,GT,1611641306
Gorontalo,0.5412,123.0595,82.54,76,100,3.98,ID,1611641271
Pirovskoye,57.6267,92.2658,-28.17,82,81,2.73,RU,1611641351
Finschhafen,-6.6024,147.8681,87.15,68,70,14.09,PG,1611641362
Russell,32.3502,-85.1999,69.8,78,90,10.36,US,1611641373
Bang Saphan,11.2126,99.5117,86.0,70,40,5.75,TH,1611641384
Brae,60.3964,-1.353,32.0,86,48,3.44,GB,1611641395
Xingcheng,40.6167,120.7167,39.79,54,0,10.0,CN,1611641352
Marabá,-5.3686,-49.1178,72.09,98,90,2.93,BR,1611641418
Chapais,49.7834,-74.8492,-0.4,85,90,3.44,CA,1611641429
Zabid,14.1951,43.3152,74.98,62,5,3.67,YE,1611641440
Katsuura,35.1333,140.3,54.0,58,75,4.61,JP,1611641199
Lowestoft,52.4752,1.7516,34.0,91,20,9.93,GB,1611641462
Butaritari,3.0707,172.7902,80.56,73,71,7.31,KI,1611641216
Flinders,-34.5833,150.8552,82.99,63,83,11.99,AU,1611641257
La Joya,18.6667,-99.4667,66.0,62,32,3.87,MX,1611641495
Cherskiy,68.75,161.3,-38.11,81,51,4.21,RU,1611641228
Kiama,-34.6833,150.8667,84.99,63,90,11.99,AU,1611641518
Winsum,53.33,6.5208,36.0,95,14,9.78,NL,1611641529
Hermanus,-34.4187,19.2345,73.0,75,13,4.0,ZA,1611641218
Opuwo,-18.0607,13.84,68.4,73,74,2.33,NA,1611641238
Mount Darwin,-16.7725,31.5838,65.41,94,100,2.19,ZW,1611641564
Elko,41.0002,-115.5012,26.6,80,90,5.75,US,1611641575
Alice,27.7523,-98.0697,71.6,45,75,5.75,US,1611641586
Xining,36.6167,101.7667,26.35,73,100,2.82,CN,1611641597
Altay,47.8667,88.1167,3.36,87,99,2.86,CN,1611641250
Manono,-7.3,27.4167,69.91,93,69,3.04,CD,1611641619
Navolato,24.7672,-107.6944,57.0,82,18,1.99,MX,1611641631
Hyères,43.1167,6.1167,41.0,56,0,4.61,FR,1611641642
Bredasdorp,-34.5322,20.0403,66.2,82,13,3.44,ZA,1611641137
Mahébourg,-20.4081,57.7,86.0,58,20,9.22,MU,1611641664
Olafsvik,64.8945,-23.7142,25.12,95,100,28.9,IS,1611641349
Talnakh,69.4865,88.3972,-28.57,82,100,11.34,RU,1611641246
Dzaoudzi,-12.7887,45.2699,86.0,58,0,3.44,YT,1611641698
Leningradskiy,69.3833,178.4167,-17.27,86,100,16.87,RU,1611641300
Wasilla,61.5814,-149.4394,21.2,85,1,1.59,US,1611641297
Itaituba,-4.2761,-55.9836,71.49,94,76,1.48,BR,1611641731
Ballina,-28.8667,153.5667,86.0,65,0,17.27,AU,1611641365
Sorong,-0.8833,131.25,83.71,73,99,10.0,ID,1611641473
Bangui,4.3612,18.555,75.2,88,98,1.41,CF,1611641765
Palauig,15.435,119.9045,83.05,74,100,5.61,PH,1611641777
Karpathos,35.507,27.2132,62.6,77,40,13.8,GR,1611641353
Nikolskoye,59.7035,30.7861,35.6,93,90,11.18,RU,1611641246
Rundu,-17.9333,19.7667,70.3,83,83,2.33,NA,1611641810
Trairi,-3.2778,-39.2689,77.77,86,100,7.63,BR,1611641821
Aklavik,68.2191,-135.0107,-7.6,77,100,3.44,CA,1611641297
Hong Kong,22.2855,114.1577,73.0,60,8,8.01,HK,1611641585
Whitianga,-36.8333,175.7,75.0,72,0,5.99,NZ,1611641854
Corinth,37.9407,22.9573,51.01,57,100,1.01,GR,1611641866
Muros,42.7762,-9.0603,57.99,96,100,7.05,ES,1611641877
Huainan,32.6264,116.9969,46.62,75,99,6.38,CN,1611641888
Mount Gambier,-37.8333,140.7667,66.2,59,90,21.85,AU,1611641319
Qaanaaq,77.484,-69.3632,5.05,65,0,7.85,GL,1611641910
Salalah,17.0151,54.0924,78.8,34,0,5.75,OM,1611641921
Rawicz,51.6095,16.8585,35.01,97,95,12.33,PL,1611641933
Pisco,-13.7,-76.2167,69.01,85,79,1.01,PE,1611641944
West Bay,19.3667,-81.4167,79.0,79,100,15.52,KY,1611641955
Indianola,41.3581,-93.5574,19.4,86,90,20.71,US,1611641966
Funtua,11.5233,7.3081,60.49,26,80,9.75,NG,1611641977
